"","Sport","END","STR","PWR","SPD","AGI","FLX","NER","DUR","HAN","ANA","TOTAL","RANK"
"1","Boxing",8.63,8.13,8.63,6.38,6.25,4.38,8.88,8.5,7,5.63,72.375,1
"2","Ice Hockey",7.25,7.13,7.88,7.75,7.63,4.88,6,8.25,7.5,7.5,71.75,2
"3","Basketball",7.38,6.25,6.5,7.25,8.13,5.63,4.13,7.75,7.5,7.38,67.875,4
"4","Wrestling",6.63,8.38,7.13,5.13,6.38,7.5,5,6.75,4.25,6.38,63.5,5
"5","Martial Arts",5,5.88,7.75,6.38,6,7,6.63,5.88,6,6.88,63.375,6
"6","Tennis",7.25,5.13,7.13,6.75,7.75,5.63,3,5,8.38,6.75,62.75,7
"7","Gymnastics",5.38,6.13,6.63,5,6.38,10,7.5,6.88,4.5,4.13,62.5,8
"8","Baseball",4.63,5.75,7.63,6.5,6.75,4.75,5.13,5.63,9.25,6.25,62.25,9
"9","Football",7.75,4.5,5.13,7.25,8.25,4.75,3.63,6.25,6.5,7.5,61.5,10
"10","Alpine Skiing",5.13,5.25,6,7.38,6.13,5.63,8.38,6,5.13,5.63,60.625,11
"11","Water Polo",7.88,6.63,6.88,5.38,6.38,5,4.25,6.38,6.25,5.63,60.625,11
"12","Rugby",6.75,7,6.38,5.88,6,4.13,6.5,7.88,4.38,5.63,60.5,13
"13","Lacrosse",6.63,5.13,5.75,7,6.63,4.75,4.38,6.13,7.13,6.88,60.375,14
"14","Rodeo: Steer Wrestling",4,7,7.88,3.88,4.88,5,7.88,6.88,5.13,4,56.5,15
"15","Athletics_PoleVault",3.38,6.88,7.25,6.13,5.38,7,6.63,4.25,5.25,3.75,55.875,16
"16","Hockey",6.75,4.5,5.38,6,5.75,4.63,3.75,5,6.63,6.5,54.875,17
"17","Speed Skating",7.63,7.25,7.38,8.88,4,4.25,4.5,4.63,2.88,3.5,54.875,17
"18","Figure Skating",6.38,5.25,6.63,5.13,6.88,8.25,4.88,4,3.13,4.25,54.75,19
"19","Cycling_Distance",9.63,6.38,6.25,5.13,3.75,2.63,5.88,6.88,3,4.88,54.375,20
"20","Volleyball",5.13,4.88,6.63,5,7,5.13,2.88,4.63,7.25,5.88,54.375,20
"21","Racquets",6.13,3.75,5,5.5,7.25,5.88,2.38,2.88,8.38,6.5,53.625,22
"22","Surfing",4.63,5,4.13,4.25,6.63,5.5,8.25,5.5,4.38,4.88,53.125,23
"23","Fencing",4.63,3.75,4.25,5.13,6.13,5.63,4.88,4.25,7.25,6.88,52.75,24
"24","Freestyle Skiing",4.13,5.13,4.88,5.13,6.63,6.88,6.63,5.13,4.13,3.88,52.5,25
"25","Handball",4.88,3.88,5.38,5.5,6,4.5,3,3.88,7.88,5.88,50.75,26
"26","Cycling_Sprints",4.25,6.13,7.88,7.5,4,2.88,4.75,4.5,3.63,4.5,50,27
"27","Bobsleigh",3.5,5.5,6.5,6.75,4.13,3.25,7.75,3.5,4.13,4.25,49.25,28
"28","Ski Jumping",3.5,4.5,5.75,4.63,4,5,9,4.63,4.38,3.5,48.875,29
"29","Badminton",5.25,3.25,4,5.63,7.38,5.25,1.25,2.63,7.25,6.13,48,30
"30","Nordic Combined",9,5.75,4.38,5.13,4,4,2.75,5.5,3.63,3.88,48,30
"31","Auto Racing",5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32
"32","Athletics_HighJumps",3,6,7,6.13,5.63,6.63,3.5,3.5,3.5,2.88,47.75,33
"33","Athletics_Jumps",4,5.63,7.13,6.75,5,5.75,2.75,3.25,4,3.13,47.375,34
"34","Diving",2.88,5.13,4.63,3,3.5,8.5,8.38,5,3,3,47,35
"35","Swimming_Distance",9.25,5.25,4.63,5.5,3.63,5.5,2.63,4.63,2.88,3,46.875,36
"36","Skateboarding",4.13,3.75,3.75,4.13,6.13,5.13,6.5,5.25,4.88,3.13,46.75,37
"37","Athletics_Sprints",3.5,5.13,7.25,9.88,4.63,5.13,2,4.13,2.63,2.38,46.625,38
"38","Rowing",8.13,7.75,7.13,4,2.5,4,1.75,4.38,2.88,3.63,46.125,39
"39","Rodeo: Calf Roping",3.13,5.38,5,4.25,5.63,3.88,4.88,3.75,6.38,3.75,46,40
"40","Athletics_LongDistance",9.63,5.25,3.75,6,3.25,4.38,2,5.75,1.88,4.13,46,40
"41","Rodeo: Bull/Bareback/Bronc Riding",3.25,5.38,4,1.75,3.63,4.25,9.5,7.38,3.63,3.13,45.875,42
"42","Athletics_MidDistance",6,5.13,5.13,7.75,4,4.88,2,4.75,2.13,3.75,45.5,43
"43","Weightlifting",4.13,9.25,9.75,2.63,2.5,3.38,4,4.75,2.25,2.38,45,44
"44","Swimming_Sprints",4.13,5.25,6.25,7.88,3.63,5.5,2.5,3.25,2.75,3,44.125,45
"45","Water Skiing",4.63,5,4.5,3,4.25,4.75,5.88,4.63,4.13,3.25,44,46
"46","Table Tennis",3.5,2.5,4.63,4.13,5.88,4.25,1.38,1.88,8.88,6,43,47
"47","Athletics_Weights",3.25,7.88,9.13,3,3.13,3,2.25,3.63,4,2.88,42.125,48
